Feature,Importance
GrLivArea,0.2933306394407564
GarageArea,0.16490079624315188
YearBuilt,0.15370629276687317
1stFlrSF,0.15289652372896798
KitchenQual,0.12499340203162775
YearRemodAdd,0.11017234578862287
